maintenance_id,vehicle_id,service_date,cost,description
1,1,2026-02-10,89329.55,Routine service
2,1,2026-06-07,74791.89,Bodywork
3,1,2025-08-02,56663.86,Bodywork
4,1,2025-01-23,279105.08,Brake replacement
5,2,2024-06-28,753251.5,Routine service
6,2,2023-08-22,879501.2,Routine service
7,3,2024-08-27,686287.33,Engine repair
8,3,2023-09-24,63367.12,Bodywork
9,4,2024-12-25,565968.49,Routine service
10,4,2025-09-28,675560.79,Electrical fault
11,4,2026-05-29,486905.84,Routine service
12,4,2026-03-24,201757.8,Brake replacement
13,4,2024-12-04,830973.96,Electrical fault
14,5,2024-07-30,808432.51,Engine repair
15,6,2023-07-16,728399.07,Brake replacement
16,6,2025-11-05,272710.92,Electrical fault
17,6,2023-03-05,669172.01,Tyre replacement
18,6,2023-08-11,392266.32,Routine service
19,6,2026-06-24,652035.3,Tyre replacement
20,7,2023-02-12,827277.3,Electrical fault
21,7,2025-02-06,158329.45,Routine service
22,7,2025-09-18,528709.63,Tyre replacement
23,8,2023-02-09,428175.36,Brake replacement
24,8,2025-06-05,868857.09,Engine repair
25,8,2023-10-17,794009.57,Electrical fault
26,8,2024-05-03,513291.93,Bodywork
27,8,2023-11-05,18909.29,Electrical fault
28,9,2023-08-11,578626.25,Bodywork
29,9,2023-06-27,166434.89,Tyre replacement
30,9,2024-02-11,839633.19,Bodywork
31,9,2024-03-13,504043.94,Tyre replacement
32,9,2024-03-17,202093.96,Engine repair
33,10,2023-03-22,677634.89,Brake replacement
34,11,2026-03-31,79252.28,Bodywork
35,11,2024-01-24,543037.17,Electrical fault
36,11,2024-12-26,380603.62,Brake replacement
37,12,2023-10-19,669514.4,Engine repair
38,12,2023-12-20,278280.13,Engine repair
39,12,2023-10-02,498167.12,Routine service
40,13,2023-10-22,30245.26,Bodywork
41,13,2024-03-02,36690.61,Tyre replacement
42,13,2024-08-14,725062.77,Brake replacement
43,14,2024-03-05,663377.71,Electrical fault
44,14,2023-06-24,537014.89,Engine repair
45,15,2023-12-28,345199.09,Electrical fault
46,15,2024-01-25,829866.86,Electrical fault
47,15,2026-03-07,700314.33,Brake replacement
48,15,2025-01-17,235097.28,Routine service
49,16,2024-07-10,64183.72,Tyre replacement
50,16,2024-09-21,737227.43,Engine repair
51,16,2023-08-17,336828.34,Tyre replacement
52,16,2026-01-13,537980.51,Routine service
53,16,2026-04-18,81264.84,Brake replacement
54,17,2024-05-20,658749.22,Engine repair
55,17,2025-07-01,541450.4,Electrical fault
56,17,2024-02-09,285710.7,Tyre replacement
57,18,2026-04-30,345247.65,Tyre replacement
58,19,2024-01-18,862124.06,Electrical fault
59,19,2026-05-04,373865.67,Engine repair
60,19,2024-10-20,30381.43,Brake replacement
61,19,2023-07-01,742701.84,Bodywork
62,20,2023-10-27,642785.25,Engine repair
63,21,2026-06-26,109745.45,Brake replacement
64,22,2025-06-09,803023.67,Tyre replacement
65,22,2023-10-03,222623.41,Electrical fault
66,22,2024-02-11,133498.58,Bodywork
67,23,2024-11-26,134078.56,Routine service
68,23,2023-10-10,760276.82,Engine repair
69,24,2023-08-11,135996.74,Bodywork
70,24,2023-02-28,34822.27,Brake replacement
71,24,2023-04-06,675231.52,Brake replacement
72,24,2023-10-17,349118.83,Engine repair
73,24,2023-10-24,890959.27,Brake replacement
74,25,2025-12-12,599005.93,Engine repair
75,25,2023-07-26,89144.1,Engine repair
76,25,2025-11-29,122993.63,Brake replacement
77,25,2023-10-07,423436.04,Engine repair
78,25,2024-11-11,465917.78,Tyre replacement
79,26,2026-05-19,483702.68,Routine service
80,26,2026-05-25,400365.84,Bodywork
81,26,2024-04-02,369984.61,Electrical fault
82,26,2026-06-06,681408.87,Electrical fault
83,26,2025-07-17,194738.13,Tyre replacement
84,27,2025-09-11,616326.24,Tyre replacement
85,28,2023-07-06,138921.81,Engine repair
86,28,2026-01-17,791205.18,Tyre replacement
87,28,2026-03-07,334131.68,Tyre replacement
88,28,2025-01-26,703673.8,Tyre replacement
89,29,2023-11-03,335872.14,Electrical fault
90,30,2026-04-28,455534.28,Tyre replacement
91,31,2026-06-20,591526.47,Engine repair
92,31,2023-02-02,471844.12,Brake replacement
93,31,2025-08-05,119699.77,Tyre replacement
94,31,2023-11-30,755509.32,Routine service
95,32,2025-03-01,642665.16,Brake replacement
96,32,2024-04-19,100744.78,Tyre replacement
97,32,2023-09-22,25635.81,Tyre replacement
98,32,2023-02-17,75136.04,Tyre replacement
99,32,2023-10-28,53193.47,Brake replacement
100,33,2026-01-05,75351.41,Tyre replacement
101,33,2023-02-09,116362.22,Routine service
102,34,2023-11-21,378717.97,Routine service
103,35,2025-11-18,608855.37,Routine service
104,36,2023-12-02,422586.01,Routine service
105,36,2023-02-01,82497.08,Tyre replacement
106,36,2026-03-24,445792.37,Tyre replacement
107,37,2023-09-14,476484.12,Tyre replacement
108,37,2024-11-04,176348.39,Bodywork
109,38,2024-09-12,292217.22,Routine service
110,38,2023-12-26,898398.51,Routine service
111,39,2024-08-09,146099.53,Engine repair
112,39,2026-05-06,447792.53,Tyre replacement
113,39,2023-07-22,491232.21,Bodywork
114,39,2024-04-02,103188.76,Bodywork
115,40,2024-08-20,620994.67,Tyre replacement
116,40,2023-02-17,592782.61,Bodywork
117,40,2023-04-22,79604.6,Bodywork
118,40,2026-05-15,313548.32,Brake replacement
119,41,2023-08-13,562703.43,Bodywork
120,42,2024-08-05,230864.64,Electrical fault
121,42,2025-11-23,98724.42,Brake replacement
122,42,2024-08-16,139407.67,Tyre replacement
123,43,2023-12-03,546842.24,Brake replacement
124,43,2025-02-13,669354.42,Engine repair
125,43,2024-04-16,74085.85,Engine repair
126,43,2024-08-12,183437.04,Engine repair
127,43,2023-05-17,508559.92,Bodywork
128,44,2025-05-18,795509.95,Tyre replacement
129,44,2024-10-31,613536.22,Bodywork
130,44,2024-03-20,324285.42,Engine repair
131,44,2024-10-07,616363.13,Engine repair
132,44,2026-04-09,492615.28,Brake replacement
133,45,2023-04-09,553126.45,Brake replacement
134,45,2023-12-30,160363.47,Brake replacement
135,45,2024-04-22,860978.1,Tyre replacement
136,45,2024-08-09,501074.55,Engine repair
137,45,2026-06-11,302744.27,Bodywork
138,46,2026-01-21,348903.57,Brake replacement
139,46,2024-05-31,303088.04,Brake replacement
140,46,2023-09-09,181843.78,Bodywork
141,46,2025-10-24,388583.47,Brake replacement
