asset_id,property_id,asset_type,installed_date,condition_rating
1,1,HVAC Unit,2017-01-01,poor
2,1,Generator,2018-07-17,good
3,1,CCTV System,2019-09-06,good
4,1,CCTV System,2024-02-14,fair
5,1,Generator,2020-11-09,excellent
6,1,Generator,2025-08-09,fair
7,2,Solar Array,2024-10-07,fair
8,2,Elevator,2020-07-01,good
9,2,CCTV System,2019-08-01,excellent
10,2,CCTV System,2023-11-29,excellent
11,2,Generator,2015-12-16,fair
12,2,Fire Suppression System,2018-07-05,good
13,3,Generator,2025-07-26,good
14,3,CCTV System,2018-12-14,good
15,4,HVAC Unit,2018-03-09,poor
16,4,HVAC Unit,2019-02-07,fair
17,4,Fire Suppression System,2015-07-03,excellent
18,4,Elevator,2021-02-20,good
19,5,Generator,2019-09-17,excellent
20,5,Solar Array,2017-01-15,good
21,5,Fire Suppression System,2019-11-19,good
22,6,CCTV System,2015-04-26,poor
23,6,Elevator,2020-09-20,good
24,6,CCTV System,2024-07-17,good
25,6,Generator,2016-10-14,good
26,6,Elevator,2023-01-18,poor
27,6,Solar Array,2015-02-17,excellent
28,7,Elevator,2026-06-30,good
29,7,Fire Suppression System,2022-04-27,fair
30,8,Fire Suppression System,2020-06-16,fair
31,8,Solar Array,2023-03-17,good
32,8,CCTV System,2020-07-27,poor
33,8,Generator,2025-09-17,good
34,8,Elevator,2019-05-06,good
35,8,Fire Suppression System,2017-02-17,fair
36,9,Generator,2016-04-08,good
37,9,Generator,2021-10-03,good
38,9,Elevator,2021-01-22,poor
39,9,HVAC Unit,2019-01-15,fair
40,9,Generator,2017-07-20,fair
41,9,Fire Suppression System,2018-11-15,good
42,10,Elevator,2016-04-26,good
43,10,Fire Suppression System,2023-07-29,fair
44,11,Solar Array,2019-09-21,fair
45,11,Elevator,2017-07-09,excellent
46,11,CCTV System,2026-02-27,poor
47,12,Elevator,2021-11-12,fair
48,12,HVAC Unit,2024-07-08,excellent
49,12,Elevator,2017-12-08,fair
50,12,Elevator,2026-05-03,fair
51,12,CCTV System,2022-11-22,good
52,13,Generator,2020-12-14,good
53,13,Fire Suppression System,2022-10-30,good
54,13,Solar Array,2020-12-31,good
55,13,Fire Suppression System,2019-09-02,poor
56,14,Solar Array,2020-01-04,good
57,14,Elevator,2020-12-02,fair
58,15,HVAC Unit,2016-02-21,poor
59,15,HVAC Unit,2025-12-18,poor
60,15,CCTV System,2021-12-21,good
61,15,Generator,2016-02-14,poor
62,15,CCTV System,2017-11-21,excellent
63,16,CCTV System,2018-05-11,fair
64,16,Generator,2020-04-25,good
65,16,HVAC Unit,2018-07-08,good
66,17,Fire Suppression System,2024-07-13,excellent
67,17,HVAC Unit,2020-09-04,fair
68,17,HVAC Unit,2017-09-01,good
69,17,Solar Array,2017-02-22,good
70,17,HVAC Unit,2022-10-14,good
71,18,HVAC Unit,2024-06-18,good
72,18,CCTV System,2020-03-01,fair
73,18,HVAC Unit,2021-02-15,poor
74,19,Solar Array,2017-09-27,fair
75,19,CCTV System,2021-04-19,good
76,19,CCTV System,2020-07-08,fair
77,20,Fire Suppression System,2025-09-18,poor
78,20,CCTV System,2017-01-21,excellent
79,20,Fire Suppression System,2015-02-26,fair
80,21,HVAC Unit,2016-06-16,good
81,21,HVAC Unit,2021-08-03,excellent
82,21,Solar Array,2022-09-17,fair
83,21,CCTV System,2019-05-22,good
84,21,CCTV System,2016-03-16,good
85,21,Generator,2019-10-19,good
86,22,Generator,2015-07-30,excellent
87,22,Elevator,2025-12-02,excellent
88,23,HVAC Unit,2016-11-17,poor
89,23,CCTV System,2016-04-16,excellent
90,23,Elevator,2016-02-12,fair
91,23,Solar Array,2017-11-30,good
92,24,HVAC Unit,2020-07-17,good
93,24,Solar Array,2025-06-01,good
94,24,CCTV System,2018-10-07,good
95,24,Elevator,2020-03-25,fair
96,24,HVAC Unit,2015-06-07,fair
97,24,CCTV System,2018-01-19,good
98,25,Generator,2015-02-20,excellent
99,25,CCTV System,2023-11-06,good
100,25,CCTV System,2018-01-29,good
101,25,HVAC Unit,2021-06-01,fair
102,26,CCTV System,2023-12-23,good
103,26,Fire Suppression System,2025-11-19,good
104,26,Generator,2022-12-20,excellent
105,27,Solar Array,2016-01-08,fair
106,27,CCTV System,2017-10-16,fair
107,27,Fire Suppression System,2017-07-14,good
108,28,Elevator,2022-02-25,good
109,28,Generator,2025-10-05,good
110,29,Fire Suppression System,2022-01-15,poor
111,29,Fire Suppression System,2025-02-06,fair
112,29,Elevator,2022-12-10,excellent
113,29,Solar Array,2018-06-01,poor
114,30,HVAC Unit,2024-09-23,good
115,30,Solar Array,2025-08-05,good
116,30,Generator,2022-08-08,good
117,30,HVAC Unit,2018-04-10,excellent
118,30,CCTV System,2025-12-06,good
119,31,Solar Array,2022-08-01,good
120,31,Solar Array,2016-06-11,good
121,31,Elevator,2021-03-11,good
122,31,Elevator,2022-10-15,good
123,32,Solar Array,2025-08-21,good
124,32,Generator,2015-11-07,good
125,32,HVAC Unit,2019-04-09,fair
126,32,CCTV System,2015-03-26,good
127,33,Solar Array,2020-12-13,good
128,33,Fire Suppression System,2021-12-17,fair
129,33,Solar Array,2021-10-02,good
130,33,Elevator,2019-08-05,fair
131,33,HVAC Unit,2019-07-15,excellent
132,33,HVAC Unit,2022-06-17,fair
133,34,Fire Suppression System,2026-04-09,good
134,34,Solar Array,2015-10-13,good
135,34,Generator,2023-07-05,poor
136,35,Fire Suppression System,2023-08-16,fair
137,35,Generator,2015-03-18,excellent
138,35,Fire Suppression System,2019-04-15,good
139,36,Generator,2022-04-19,excellent
140,36,HVAC Unit,2016-07-16,good
141,36,CCTV System,2023-07-19,good
142,36,Generator,2020-05-25,fair
143,36,Solar Array,2023-02-22,excellent
144,36,CCTV System,2015-03-02,fair
145,37,CCTV System,2016-05-02,excellent
146,37,Solar Array,2018-03-24,poor
147,37,Solar Array,2025-09-01,good
148,37,Elevator,2019-11-27,excellent
149,38,Generator,2022-06-15,good
150,38,Solar Array,2023-04-07,fair
151,38,Elevator,2020-05-12,excellent
152,38,Fire Suppression System,2021-01-02,fair
153,39,Generator,2015-03-04,poor
154,39,HVAC Unit,2024-06-28,excellent
155,39,CCTV System,2019-01-22,fair
156,39,HVAC Unit,2020-01-15,good
157,39,Generator,2018-01-25,excellent
158,40,Solar Array,2024-06-04,fair
159,40,Solar Array,2016-02-26,good
160,40,Solar Array,2019-09-29,fair
161,41,HVAC Unit,2022-07-27,excellent
162,41,Fire Suppression System,2016-05-06,good
163,41,Solar Array,2025-06-28,poor
164,41,CCTV System,2024-04-11,good
165,41,Solar Array,2015-12-22,fair
166,41,HVAC Unit,2016-02-15,good
167,42,CCTV System,2019-10-27,excellent
168,42,CCTV System,2025-02-12,fair
169,42,Elevator,2023-12-03,good
170,42,Solar Array,2021-11-27,excellent
171,43,Generator,2015-10-13,good
172,43,Fire Suppression System,2019-06-08,good
173,43,Fire Suppression System,2017-07-20,good
174,43,CCTV System,2016-07-27,good
175,43,HVAC Unit,2024-06-09,fair
176,43,Fire Suppression System,2017-09-12,excellent
177,44,Elevator,2024-10-22,excellent
178,44,Solar Array,2023-07-10,fair
179,44,Fire Suppression System,2021-06-23,good
180,44,Generator,2016-11-21,good
181,44,HVAC Unit,2021-04-01,good
182,44,CCTV System,2026-06-18,good
183,45,CCTV System,2020-08-19,good
184,45,Solar Array,2020-05-12,good
185,45,Elevator,2021-07-29,fair
186,46,Generator,2024-01-03,fair
187,46,HVAC Unit,2022-12-05,good
188,46,Solar Array,2021-04-06,excellent
189,46,Elevator,2018-12-01,good
190,46,CCTV System,2022-09-27,excellent
191,46,Generator,2015-01-23,good
192,47,Fire Suppression System,2020-10-17,fair
193,47,Elevator,2025-12-21,excellent
194,47,HVAC Unit,2025-01-07,poor
195,48,Elevator,2018-12-18,poor
196,48,Fire Suppression System,2024-10-25,fair
197,48,Generator,2015-08-02,good
198,48,HVAC Unit,2015-01-26,good
199,48,HVAC Unit,2017-03-19,good
200,49,Elevator,2025-08-12,good
201,49,CCTV System,2022-04-23,good
202,49,Generator,2024-08-24,poor
203,49,Solar Array,2020-02-11,poor
204,49,Generator,2022-01-20,excellent
205,50,CCTV System,2022-02-07,good
206,50,Fire Suppression System,2018-03-29,good
207,50,Solar Array,2017-04-27,fair
208,50,Elevator,2015-01-02,excellent
209,50,Solar Array,2019-09-17,poor
210,50,CCTV System,2025-09-09,good
211,51,HVAC Unit,2026-01-15,good
212,51,Generator,2022-06-07,good
213,51,Fire Suppression System,2018-11-14,good
214,51,HVAC Unit,2018-08-23,good
215,52,Generator,2018-12-19,excellent
216,52,Solar Array,2021-03-30,fair
217,53,HVAC Unit,2018-07-12,fair
218,53,Solar Array,2021-08-14,good
219,53,CCTV System,2024-08-07,excellent
220,53,HVAC Unit,2022-07-31,poor
221,53,Generator,2020-10-27,fair
222,54,CCTV System,2018-09-19,good
223,54,HVAC Unit,2018-08-25,good
224,54,Solar Array,2025-03-09,good
225,54,Fire Suppression System,2015-01-26,good
226,54,Fire Suppression System,2024-04-04,excellent
227,55,HVAC Unit,2022-03-29,poor
228,55,HVAC Unit,2025-09-14,fair
229,56,Generator,2018-01-03,good
230,56,Fire Suppression System,2022-05-31,good
231,56,Solar Array,2023-02-23,poor
232,56,Solar Array,2024-07-03,fair
233,57,Generator,2024-05-27,good
234,57,CCTV System,2025-01-31,good
235,58,Solar Array,2016-02-26,good
236,58,CCTV System,2022-11-19,poor
237,58,Elevator,2017-10-12,excellent
238,58,Fire Suppression System,2015-03-26,excellent
239,58,CCTV System,2019-01-19,fair
240,58,CCTV System,2016-06-20,fair
241,59,CCTV System,2021-04-29,fair
242,59,HVAC Unit,2019-12-08,good
243,59,Solar Array,2025-02-02,fair
244,59,Solar Array,2015-02-06,poor
245,60,Fire Suppression System,2018-06-29,good
246,60,Generator,2023-01-28,good
247,60,CCTV System,2021-03-31,fair
248,60,Elevator,2025-03-02,excellent
249,60,CCTV System,2023-09-14,good
250,60,Solar Array,2021-10-31,good
251,61,Generator,2020-12-08,good
252,61,Elevator,2025-11-16,good
253,61,Generator,2019-07-16,good
254,61,Solar Array,2017-09-22,excellent
255,62,HVAC Unit,2019-10-03,good
256,62,Fire Suppression System,2016-12-16,good
257,63,Elevator,2025-01-24,good
258,63,Fire Suppression System,2018-08-20,fair
259,64,Generator,2022-02-13,poor
260,64,Generator,2023-03-06,fair
261,65,HVAC Unit,2021-08-29,good
262,65,CCTV System,2026-06-18,good
263,65,Elevator,2020-03-13,fair
264,65,Elevator,2016-02-12,good
265,65,Generator,2021-08-09,poor
266,65,Solar Array,2020-01-23,fair
267,66,CCTV System,2015-10-28,fair
268,66,CCTV System,2018-06-12,poor
269,66,Solar Array,2016-03-28,good
270,66,Elevator,2022-08-28,poor
271,66,Generator,2025-02-14,good
272,67,Fire Suppression System,2024-08-27,good
273,67,Fire Suppression System,2024-06-16,fair
274,67,HVAC Unit,2025-11-17,good
275,67,CCTV System,2016-07-04,good
276,67,Generator,2018-02-24,good
277,67,Generator,2022-08-12,excellent
278,68,Solar Array,2025-05-11,good
279,68,CCTV System,2024-04-22,fair
280,68,HVAC Unit,2017-03-06,good
281,68,CCTV System,2019-12-02,fair
282,68,Elevator,2026-02-02,good
283,68,Fire Suppression System,2018-01-11,excellent
284,69,Generator,2015-08-14,excellent
285,69,CCTV System,2017-02-27,fair
